Country,Total Medals,Gold,Silver,Bronze,2022 Population
Botswana,2,0,1,1,"2,630,296"
North Macedonia,2,0,1,1,"2,093,599"
Suriname,2,1,0,1,"618,040"
Bermuda,2,1,0,1,"64,184"
Sudan,1,0,1,0,"46,874,204"
Iraq,1,0,0,1,"44,496,122"
Burkina Faso,1,0,0,1,"22,673,762"
Guatemala,1,0,1,0,"17,843,908"
Senegal,1,0,1,0,"17,316,449"
Togo,1,0,0,1,"8,848,699"
Paraguay,1,0,1,0,"6,780,744"
Turkmenistan,1,0,1,0,"6,430,770"
Eritrea,1,0,0,1,"3,684,032"
Gabon,1,0,1,0,"2,388,992"
Mauritius,1,0,0,1,"1,299,469"
Cyprus,1,0,1,0,"1,251,488"
Djibouti,1,0,0,1,"1,120,849"
Guyana,1,0,0,1,"808,726"
Montenegro,1,0,1,0,"627,082"
Barbados,1,0,0,1,"281,635"
Samoa,1,0,1,0,"222,382"
Tonga,1,0,1,0,"106,858"
